id,stageId,name,overview,priority,lat,lng,distanceFromBase,access,bikeUsefulness,publicityCaravan,caravanTime,raceTime,viewingQuality,crowding,amenities,roadClosureRisk,exitStrategy,luggage,notes,sources
stage-1-placa-espanya-lower-montjuic,trip-jul-04,Plaça d'Espanya / lower Montjuic approach,,Top pick / balanced,41.375,2.149,~2.2 mi from Yurbban Passage,"Walk + metro/bus possible; simplest is walk/metro early, then stay put.",Bike not very useful; road closures and crowds make locking/returning annoying.,Yes - on official route,≈16:04,First team ≈17:21; last team ≈19:11,"Very good: decisive late TTT approach before Montjuic, easier than the finish.",High but more manageable than Olympic finish/Sagrada Família.,Good urban backup: Plaça d'Espanya / Arenas / Montjuic facilities nearby; shade variable.,Moderate-high: major junction and final approach roads will close; arrive before caravan.,Walk back or use metro after crowd disperses; avoid trying to cross the course.,Hotel base already in Barcelona; no luggage issue.,"Best balance from prior planning: close enough to lodging, meaningful race action, not the absolute finish scrum.",
stage-1-upper-montjuic-olympic-stadium,trip-jul-04,Upper Montjuic / Olympic Stadium final climb area,,Best atmosphere / highest friction,41.3651,2.1554,~2.5 mi from Yurbban Passage,Walk/metro to Plaça d'Espanya area then walk uphill; plan extra time.,Not useful unless arriving very early and accepting complicated post-race exit.,Yes - on official route,≈16:13-16:14,First team ≈17:26; last team ≈19:16,Excellent: final climb/finish energy; riders near full effort.,Very high; finish-zone pinch points likely.,Stadium/park facilities may exist but access-controlled; food/water may require pre-planning; shade patchy.,High: finish-zone closures and spectator controls likely.,Slow walk downhill after last teams; expect bottlenecks toward Plaça d'Espanya.,Hotel base already in Barcelona; no luggage issue.,Great if race atmosphere is the goal; less comfortable for a mixed group or if heat/fatigue matters.,
stage-1-sagrada-familia-time-check,trip-jul-04,Sagrada Familia mid-course / time-check area,,Iconic but crowded,41.4036,2.1744,~1.2 mi from Yurbban Passage,Walkable from hotel; very easy transit fallback.,Bike unnecessary; crowds and security perimeter make it more hassle than help.,Yes - on official route / time check,≈15:55-15:56,First team ≈17:16; last team ≈19:06,Good TTT viewing: mid-course speed and official time-check context; less decisive than Montjuic.,Very high because it combines iconic tourist area + race route.,"Many cafés/shops nearby, but bathrooms and water lines likely stressed; shade varies by block.","Moderate-high: easy to reach on foot, but crossing restrictions around the basilica likely.",Walk back north/east away from route; avoid trying to cross immediately.,Hotel base already in Barcelona; no luggage issue.,Good if Craig/Thy or family want the most Barcelona-feeling backdrop; not the lowest-stress option.,
stage-1-seafront-port-olimpic,trip-jul-04,Seafront / Port Olimpic early-route area,,Lower-stress scenic option,41.3865,2.197,~1.3 mi from Yurbban Passage,Walk/taxi-transit depending closures; flatter than Montjuic.,Bike only mildly useful if arriving very early; locking/closures still a nuisance.,Yes - on official route,≈15:40,First team ≈17:08; last team ≈18:58,"Good speed spectacle and easier space, but less tactically decisive than final climb.",Moderate-high; likely less compressed than finish/Sagrada Família.,Beachfront restaurants/kiosks; bathrooms around beach/marina but capacity uncertain; sun exposure high.,Moderate: early-route roads close but more escape directions than Montjuic.,Exit along seafront or back toward El Born; avoid course crossings.,Hotel base already in Barcelona; no luggage issue.,"Good fallback if the group wants lower stress, water views, and easier movement.",
stage-2-montjuic-castle-climb-zone,trip-jul-05,Cote du Chateau de Montjuic / Montjuic Castle climb zone,,Top pick for cycling spectacle,41.3636,2.1639,~2.4 mi from Yurbban Passage,"Metro/walk to Montjuic, then walk uphill; exact roadside access needs verification.","Bike possible early, but likely annoying once closures/crowds build; walking is safer.",Yes - multiple official passes,"≈15:29, ≈15:50, ≈16:11",Riders roughly ≈16:52-17:42 across repeated passes,Excellent: repeated 1.6 km climb at 9.3%; likely attacks and split-making.,"Very high, especially near KOM points and road bends.",Park has some facilities but access may be controlled; bring water/snacks; shade better than open boulevards.,"High: Montjuic loop, climb, and finish controls; exact spectator corridors TBD.",Walk downhill after race; avoid relying on bikes or taxis from the hill.,Hotel base already in Barcelona; no luggage issue.,This preserves the original Montjuic Castle itinerary idea; watch official spectator access when Barcelona releases local plans.,
stage-2-olympic-stadium-finish,trip-jul-05,Olympic Stadium finish / final line area,,Best finish energy / most crowded,41.3647,2.1557,~2.6 mi from Yurbban Passage,Walk/metro to Montjuic; arrive very early if trying for barriers.,Bike is a downside unless parked far away before closures.,Yes - multiple official passes and finish,"≈15:34, ≈15:55, ≈16:15",Riders/finish roughly ≈16:55-17:46; winner ~17:26-17:46 depending pace,Excellent for finish atmosphere and potentially multiple line passages.,Extreme; expect controlled zones and bottlenecks.,Facilities may be present but queues likely; bring water; shade variable.,Very high: finish-zone security and post-race crowd release.,Slow downhill walk; stay patient and avoid tight transit points immediately after finish.,Hotel base already in Barcelona; no luggage issue.,Best if the group specifically wants the finish; otherwise climb/lower circuit may be more practical.,
stage-2-fontaines-montjuic-lower-circuit,trip-jul-05,Fontaines de Montjuic / lower circuit entry,,Best practical fallback,41.3712,2.1519,~2.3 mi from Yurbban Passage,Metro/walk to Plaça d'Espanya; easiest Montjuic-adjacent option.,Bike not needed; parking/lockup likely not worth it.,Yes - multiple official passes,≈15:29 and ≈15:43,Riders roughly ≈16:51-17:20 on listed passes,"Very good: circuit entry, wider area, likely multiple sightings; less pure climbing drama.",High but more navigable than castle/finish.,"Good nearby urban amenities, Magic Fountain/Plaça d'Espanya area; shade mixed.","Moderate-high: easiest to reach, but course crossings limited.",Walk/metro from Plaça d'Espanya after crowds thin.,Hotel base already in Barcelona; no luggage issue.,Likely the most balanced Stage 2 option if access to the upper climb is too restricted.,
stage-3-puigcerda-town-n260,trip-jul-06,Puigcerda town / N-260 near N-152/N-154,,Top practical pick,42.4309,1.9294,~0.3 mi from Hotel Villa Paulita,Walk from Hotel Villa Paulita; no driving needed once parked/checked in.,Bike unnecessary; walking from lodging is the win.,Yes - on official route,≈14:32,Riders ≈15:52-16:14,"Good practical viewing: town energy, official route, easy logistics; less mountain drama than Col de Toses.",Moderate-high but manageable for a small town; arrive early.,"Best amenities: cafés, shops, hotel access, bathrooms; shade depends block.",Low-medium if already in town; high if trying to drive in late.,Walk back to hotel after race; minimal exit friction.,Strongest ability to drop luggage/check in or leave bags at hotel before spectating.,Original itinerary says drive very early and spectate in Puigcerda; this option preserves that low-friction plan.,
stage-3-la-molina-col-de-toses,trip-jul-06,La Molina / Col de Toses area,,Best mountain spectacle / high friction,42.3302,2.0119,"~10-18 mi by road from Hotel Villa Paulita, depending exact roadside / pass",Drive/bike only if leaving very early; road closures make late movement risky.,"Bike can be useful for committed riders: ride from Puigcerda/Alp area before closure, but it is a real mountain day.",Yes - official route,Col de Toses ≈13:50; La Molina ≈13:58,Riders roughly ≈15:23-15:49,"Excellent: Category 1 Col de Toses, climbing speed, mountain scenery.",High at the summit/pass; potentially more spread out on lower slopes.,Sparse; bring all food/water/layers; bathrooms limited to villages/station facilities.,High: mountain-road closure and parking constraints.,Bike/walk out after course reopens; driving exit likely slow.,Check-in/luggage more difficult; coordinate with hotel before leaving town.,Only choose this if the group is willing to trade comfort for a real climb-viewing experience.,
stage-3-ur-angoustrine-targasonne,trip-jul-06,Ur / Angoustrine / Targasonne after Puigcerda,,Good scenic alternate,42.49,1.953,"~6-12 mi by road from Hotel Villa Paulita, depending exact village",Drive/bike from Puigcerda only if crossing/road access is confirmed early; otherwise risky.,"Bike can help if roads close to cars, but cross-border logistics and return timing matter.",Yes - official route,Ur ≈14:41; Angoustrine ≈14:47; Targasonne ≈14:57,Riders roughly ≈15:57-16:37 depending spot,"Very good: later-stage tension, open views, less town congestion than Puigcerda.",Moderate; likely lower than finish/major climbs.,Village-level amenities only; bring water/snacks; shade variable.,Medium-high: cross-border road closures can trap you.,Return to Puigcerda may be delayed until route clears; have patience.,Check-in first if possible; do not rely on driving back quickly.,Good if Puigcerda feels too tame and you can confirm the road plan.,
